userName,score,at,content,sentiment
Adi Febriantoro,4,2023-02-24 11:19:54,aplikasi My Telkomsel mantap..... bayak undian hadia2 menarik... dan seru... gak rugi punya aplikasi My Telkomsel... smoga semakin kaya☺☺☺,POSITIF
HASANAH MAERI,5,2023-02-08 22:15:02,mytelkomsel memang oke,POSITIF
Putri Ernalira,1,2023-02-07 06:51:23,"Saya selalu mengisi pulsa melalui apk my Telkomsel dengan pembayaran dana ,tapi pulsanya tidak masuk tapi duit saya didana dipotong 🙏🙏🙏",NEGATIF
Khairul Fahmi,1,2023-02-09 14:36:13,PAKET MAAAHAAAAALLLLL JARINGANYA LEMOOOOOTTTT TERBURUK FAK@#¥%&&¥#¥%##¥%&%%%#2¥,NEGATIF
Husni M Hrp,5,2023-02-05 17:30:46,belum pernah dapat hadiah,NETRAL
Jakir Muhammad,1,2023-02-07 00:04:33,aplikasi penipuan.. sudah dibeli paket 53 Gb 50 ribu tapi hanya bisa dipakai gak sampai sehari itupun lemot... uninstall,NEGATIF
Irpan zakew,5,2023-02-05 14:13:04,"saya planggan tsel udah lama trimaksih udah menjadi sahabat hari""ku dalam menjelajah internet",POSITIF
Acom Nascom,5,2023-02-11 01:32:59,sinyal dengan jaringan terbaik disetiap daerah tetap stabil kuat,POSITIF
Andy Dendo,5,2023-02-07 00:52:14,Tetap maju Telkomsel,POSITIF
asep jahidin,5,2023-02-06 15:45:35,memudah kan pengguna Telkomsel untuk bertransaksi,POSITIF
AZISsunda99 Tsubasa,1,2023-02-13 07:28:04,Sekarang daily cek in kurng minat ggra stamp yh gk smpai pul,NEGATIF
muh_iqbaal_,2,2023-02-28 20:59:55,"PROGRAM KEMBALI TUH HADIAH CHECK IN, sekarang parah ga kaya dulu",NEGATIF
Uswatun Khasanah,4,2023-02-20 11:20:28,tambahin promonya,NETRAL
Ilham Bramantya,1,2023-02-03 01:08:14,"Paketannya paling mahal di banding sebelah tapi jaringan paling sering eror dan sinyal sering hilang padahal merek sebelah lancar"" Aja",NEGATIF
Jawier Wito,5,2023-02-04 08:07:07,good aplikasi..murah pulsa internetnya klo belu disini,POSITIF
Dita Nur fajeri,2,2023-02-12 07:19:38,"1.apk makin berat 2.makin kesini kerasa makin memburuk soal koneksi internet 3.masa buat buka apknya aja gagal loading mulu,gimana buat buka apk lain-_- Mungkin perusahaan dapat menyelesaikan permasalah terkait koneksi tsb sebagai prioritas terlebih dahulu, untuk fitur si masih aman² aja",NEGATIF
Khoer Udin,5,2023-02-05 05:01:46,semoga dapet kuota wkwk,NETRAL
Danzza 31,1,2023-02-27 14:54:51,"Nyesal aku pake apk ini. Makin hari makin parah, mana boros lagi. pulsanya juga mahal .. Unistall aja deh.",NEGATIF
Bimbim76 OI,1,2023-02-03 05:25:17,PARAH BANGET.... Telkomsel sekarang sangat buruk Harganya mahal tapi sinyal sering hilang,NEGATIF
Yusuf Laami,5,2023-02-08 13:08:16,Yusuf Laami sangat puas dengan aplikasi my Telkomsel ini,POSITIF
Indra fakhri55,5,2023-02-03 11:00:37,bagus. tingkatkan kuota murahnya,POSITIF
Muhammad Arifin Ridwan,1,2023-02-02 06:39:45,Saya cek d apk pesan bawaan hp knapa harus ke apk ini telkomsel nya d arahkan?. Gk ada tenggang orng yg mau nge chek tpi gk ada paket kah?. Apk ini harus make kuota pula buka nya...,NETRAL
Edo Saputra,1,2023-02-15 14:01:57,Lelet nanget,NEGATIF
Angga Wijaya,5,2023-02-08 04:22:42,Aplikasi nya memudahkan mobilitas untuk kartu telkomsel,POSITIF
Lili Romli,4,2023-02-10 00:18:55,mempermudah cek saldo maupun beli paket data,POSITIF
SARMIN Ngapak,2,2023-02-22 06:07:11,Lama lama sering error (Terjadi kesalahan terus),NEGATIF
Harits Muzakki,5,2023-02-01 04:54:06,Fitur mudah digunakan,POSITIF
Indra AjaSanjaya,5,2023-02-13 08:37:09,Telkomsel dari dulu is the best hingga sekarang Cumannya Boleh minta tolong kalau yang sering beli paket data diskon kan aja gitu boleh kan sekalian kasih bonus biar pelanggan senang hehehe😁😅😁👍👍👍👍👍👍,POSITIF
Deon Aja,3,2023-02-16 12:55:15,"hei lemod,kartu murah sinyal kentang,pakek otak lah knt0l",NEGATIF
Bima Adhi setyawan,1,2023-02-12 12:39:09,"Masa hadiah daily check in, untuk dapat gratis kuota paket waktu untuk dapatkan hadiahnya itu tanggal tidak bisa sampai ke hadiah tersebut. Walaupun check in tiap hari. Dikiranya bodoh costumer penggunaan sekarang. Iming iming hadiah tapi tanggal diperpendek. Kacau Telkomsel sekarang. Lebih baik tingkatkan kualitas, BUMN masa buat rakyat malah dipersulit dan mahal. Tapi kualitas sekarang menurun.",NEGATIF
desi desisalfitri,1,2023-02-02 15:52:24,"4 hari belakangan ini.jaringan Telkomsel tidak dapat di gunakan di area saya tinggal.paket 21 GB sia sia.saya sudah lama menggunakan telkomsel.dgn keadaan seperti ini.saya merasa dirugikan.paling jawaban yg diterima,maaf ya atas ketidaknyaman nya.jwbn bgus nya kek gini,Kami akan usakan dlm wktu singkat untuk mmprbaikinya.itu jwbn bgus.jgn cm maaf saja.",NEGATIF
Ken Athar,1,2023-02-06 05:26:36,Telkomsel makin mahal....gila ya bilangnya waktu ganti kartu Telkomsel halo per bulan 80rb dah dapat telpon ke sesama Telkomsel + SMS nyatanya sekarang perbulannya 95rb semoga saja para pelanggan pada kabur ganti yg lain karena tidak sesuai pembayarannya per bulan,NEGATIF
Febri Kustiyan,1,2023-02-09 05:34:29,"Gw bakalan ganti kartu, kecewa sama provider lu, harga ellite, sinyal sulit",NEGATIF
Panji Wisnu Mahendra,1,2023-02-23 15:30:57,Aplikasi my Telkomsel nya di buka tidak bisa,NEGATIF
Misrol Yadi007,5,2023-02-07 17:40:47,jika hoax bintangnya akan saya hapus sama aplikasi nya,NETRAL
Yuliardi,3,2023-02-10 04:34:28,"Daily check in yang sekarang cuma ampe 18 hari jdi gak ke klaim reward semua, tolong klo pas pembelian pket sebelum eventnya di mulai, di ksih kyak item buat tambal check in yang gak nyampe.",NETRAL
Mirsan 5777,1,2023-02-06 03:48:32,Tdk bsa di gunakan dengan nomor lama,NETRAL
Ahmed Zai,2,2023-02-01 16:41:43,Hujan kok lag kwkwkw,NEGATIF
D Kurniawan,5,2023-02-11 13:08:33,Keren Sekali.,POSITIF
san,2,2023-02-06 00:38:46,Saran aja Agar menyediakan fitur lock pulsa seperti aplikasi exis supaya saldo pulsa tetap aman atau tidak terpakai secara tiba tiba ketika kita membeli paket khusus jaringan 4G yg biasanya jaringan nya kadang berubah dgn sendirinya menjadi 3G atau 2G.,NETRAL
Adi Setyawan,1,2023-02-04 14:46:38,Sinyal bad,NEGATIF
Pratama Motor,5,2023-02-14 03:06:39,Bagus informasi y,POSITIF
y_ahmad WRZsquadX,1,2023-02-13 03:33:32,Kuota mahal sinyal lag buat game,NEGATIF
Edyahiung Ahiung,3,2023-02-07 22:12:40,baru mencoba,NETRAL
Ari,2,2023-02-07 14:47:42,Usahakan kalau promo internet itu full kuota jangan di bagi²,NETRAL
Anwar Khan,5,2023-02-02 14:16:47,slalu mmbantu dlm sgala hal dan mmpermudah semua keinginan saya,POSITIF
Tolor Asin,1,2023-02-08 13:32:27,Telkomsel anjjng babbi jaringan lag lag mulu maen game banngsat,NEGATIF
ivey Livey,1,2023-02-09 23:56:35,"jaringan putus² mulu ping gak stabil niat bikin kartu gak si udah beli mahal kualitas nya gak ada kalau di bandingin, ping exis lebih bagus kartu murah jaringan gak murahan,jan beli telkomsel deh kalian kalo gak mau nyesel😡😡😡",NEGATIF
Mawaddah,5,2023-02-01 09:10:47,"luaarrrrr biassaaaa,,ke depan promo kuotanya yang banyak ya",POSITIF
H.Mustakir Ahmad,5,2023-02-05 00:01:44,Telkomsel selalu memberikan pelayanan yang baik kepada masyarakat.,POSITIF
Erna Ernawati,5,2023-02-08 03:44:24,sangat memuaskan.,POSITIF
Elmi Putri,2,2023-02-16 03:28:06,Gk pernah d tayangan d televisi lagi..pas undian..,NETRAL
Iwan Syanusi,5,2023-02-05 03:03:24,promo nya tolong di perbanyak lagi😂,NETRAL
Cristofel Marboen,5,2023-02-01 17:54:32,"Mantap semuanya,,thank you telkomsel",POSITIF
Junitasapitri Junita,2,2023-02-13 16:52:17,"Maf buat pihak telkom saya kasih 2 bintang , untuk penukaran poin terlalu mahal semua, untuk penukaran poin kuotal lokal indo gak ada/mahal* , Pengumpulan poin bukan mudah mana nambahnya sedikit🙄, tolong untuk pihak telkom, di update dong untuk penukaran poinny , yang sepadan dong jangan mahal* mana jaringan lelet harga kuota mahal🙁🙂",NEGATIF
ARUN Okta,4,2023-02-04 11:01:01,apk memudahkan pengguna dan sangat mudah di gunakan menurut pengalaman saya,NEGATIF
Donny Nugroho,4,2023-02-25 14:48:23,"Penilaian saya naikan dari 1 menjadi 4 karena ada fitur ""Jaga pulsa"", kalau fitur ini tidak ada efeknya saya kurangi lagi jadi 1. Komentar lama tidak saya hapus dahulu sebelum saya yakin fitur baru berfungsi dengan baik (Nomor tidak diaktifkan namun pulsa terpotong, saya nonaktifkan kartu karena sebelumnya terjadi hal yang sama pulsa terpotong padahal tidak ada pemakaian karena saya menggunakan Wi-Fi, masa sekarang kartu tidak diaktifkan tetap kepotong)",NETRAL
Pecinta sholawat,1,2023-02-03 02:43:58,Sinyal mohon perbaiki,NETRAL
Yosafati Zebua,3,2023-02-06 04:09:34,Saling membantu dan kerjasama langkah menuju ke kepuasan pelanggan. Dompetmu semakin tebal berbagi lebih baik dan hubungan langgeng ya Vero 🌺🤩,NETRAL
Azis,1,2023-02-18 17:13:56,"Sinyal bututtttt, kadang ada kadang ilangggg!!",NEGATIF
Muh Hasrat,5,2023-02-06 11:06:21,sangat menarik,POSITIF
Pengguna Google,3,2023-02-08 03:06:36,Jaringannya ga stabil,NEGATIF
Kolor Doang,1,2023-02-07 01:37:17,Gk ada masalah apa² di aplikasi nya cmn saya pngen ksih bintang 1 aja hehe,NETRAL
Awan Djalil,1,2023-02-10 08:26:48,event daily check in makin gajelas😆. bonus ada di 22 stamp. tapi event cuma 18 stamp👎,NEGATIF
Firman Luky,2,2023-02-11 13:56:08,Udh selesai transaksi blom naik ke gold,NETRAL
Aan Baela,2,2023-02-02 15:01:32,Kuota nya mahal. Jaringan lemot ga sesuai. Mending ganti kartu ke XL. Jaringan nya bandel walapun hujan. Ga ngaruh.,NEGATIF
Sujana Sujana,4,2023-02-08 02:58:14,sementara 4 dulu yah,NETRAL
Mustamir Amir,5,2023-02-15 19:14:13,"Bagus, selama tidak ada gangguan. Lebih baik lagi ditingkatkan.",POSITIF
Luki Simayang,5,2023-02-11 10:29:05,what you duink,NETRAL
tona nita,4,2023-02-21 11:12:53,4 aja... soalnya hadiah cekc.in nya brubah,NETRAL
Hasibuan Hasibuan,5,2023-02-22 15:17:40,My Telkomsel luar biasa,POSITIF
prasetia nugaraha,1,2023-02-05 14:34:43,log in aja susah minta ampun,NEGATIF
Lailatul izza roshta Annawa,5,2023-02-25 07:07:30,Aku kasih bintang 5 biar paling atas komenku ini apk bikin pulsaku hangus pdhal kuota masih banyak,NETRAL
Martina Ernawati,5,2023-02-04 21:49:19,Keren mantap,POSITIF
Aiden Pierce,1,2023-02-20 05:54:16,Ngeblank kok berjam2 🤮,NEGATIF
Asti Noy,3,2023-02-06 14:24:15,sangaaat puas,POSITIF
Candra Irawan,5,2023-02-04 04:50:18,bagus dan cepat proses pembelian paket data,POSITIF
Osdar Lian,5,2023-02-19 19:21:13,my telkomsel memiliki kualitas bagus,POSITIF
Budi Novembri,4,2023-02-04 23:07:23,cukup menarik,POSITIF
Riko R ande,1,2023-02-02 06:49:24,Bagus sekali,POSITIF
Rahmat Sapiompong,1,2023-02-21 07:08:41,Payah Telkomsel paketan mahal kekuatan sinyal down terus payah nyesel pake kartu Telkomsel 👎,NEGATIF
iqbaalym,2,2023-02-14 14:28:45,"Gimana sih susah bgt beli paket bayar pake dana, ribet ni aplikasi",NEGATIF
aLan OzoMa,2,2023-02-10 07:05:18,daily check-in ny ditambahin dong hari ny,NETRAL
Ode Tatto,5,2023-02-07 16:22:57,semoga menang undian,NETRAL
Alfan Lubis,5,2023-02-03 05:18:00,"bagus sekali, semoga aku dapat rezekinya",POSITIF
Gz M,1,2023-02-02 12:06:48,Gk bisa di download,NEGATIF
Amalul Arifin,4,2023-02-10 09:35:14,4 aja dulu,NETRAL
Alena Beliau,2,2023-02-14 15:04:20,"Halo kak, apakah bisa dikembalikan Telkomsel yang dulu kak. Daily login yang sekarang udah ngebosanin kak, soalnya dulu hadiah untuk login cuma 3 hari udah dapat 500 MB, bahkan login seminggu dapat 1 GB. Sekarang harus login 20 hari baru dapat 4 Gb itupun cuma 2 hari berlaku. Mohon kak supaya dibuat lebih menarik. 🙏",NETRAL
Jun Naidi,5,2023-02-10 04:19:41,membantu sangat trima kasih my telkomsel,POSITIF
Shun Asshu,4,2023-02-07 13:00:44,apknya lumayan,NETRAL
Muhamad Pajri,1,2023-02-07 01:40:04,"Tentang aplikasi MyTelkomsel sya tidak akan mengomentari tapi saya ingin mengomentari jaringan yang super lemot tmn,"" saya juga sperti itu. Percuma kartu Telkomsel banyk yng pake tpi jringnya ke Babi🐗 rungkadken tower Telkomsel teh te guna mning picen kartu kitumh",NEGATIF
Ajeng ayu Sundari Nasatun Karimah,4,2023-02-08 15:16:26,"Ni aku nanya baik baik ya min, sebenernya kalian ini ada apa sama mobile legends sih, kenapa pas buat buka aplikasi yang Laen sinyal stabil bagus pula, tapi giliran buka ML mendadak gone itu sinyal, ya E lah ya merah lah astaghfirullah sabar pisan guaaaaa, mohon bantuannya min demi keberlangsungan hidup saya yang kesel terus di bikin emosi saya naik terus gara gara jump Mulu, terimakasih:)",NEGATIF
Anime Hidupku,4,2023-02-20 12:42:24,saya sangat puas dengan pelayanan my Telkomsel,POSITIF
Kris Kristian,5,2023-02-06 21:23:10,sangat membantu dan sangat baik,POSITIF
Agus Tailor,2,2023-02-07 12:33:23,paket internet terlalu mahal,NEGATIF
Hari Subayu,5,2023-02-19 02:40:40,sangat membantu pelanggan. sy sbagai pramudi busway MYS transjakarta sy berterimakasih kpd telkomsel. semoga tsel sukses selalu.aamiin,POSITIF
Raymond H Wibowo,1,2023-02-24 04:10:40,"Semenjak dinonaktifkan jaringan 3G untuk daerah yang notabennya lebih kuat sinyal 3G ketimbang 4G, sangat merasa dirugikan. Tidak sebanding dengan yang digembor-gemborkan fokus sinyal 4G tetapi untuk tower pemancar sinyal 4G nya masih kurang maksimal di daerah yang terkena dampak penonaktifan 3G. Sangat amat kecewa dan memilih beralih profider lain setelah berpuluh tahun menggunakan Telkomsel",NEGATIF
dhenie t'djamming,5,2023-02-01 08:44:17,saya kasih bintang lima karena untuk pelayanan custemer servis nya telkomsel sangat profesional untuk pekerjaan nya. yg langsung dtg kelokasi/area untuk pemasalaham jaringan internet yg lambat/lag. untuk para pengguna telkomsel apa bila di daerah anda mengalami masalah jaringan internet yg lambat/lag sebaik nya ikuti apa yg di intruksi kan oleh CS telkomsel. bisa langsung kirim kan email yg tercantum di my telkomsel.,POSITIF
SANDI ASHIDIQI,5,2023-02-18 23:07:00,Pintu → @sanmi7,NETRAL
Liyan Sahputra,5,2023-02-24 18:51:50,apk yg sangat bagus saya suka,POSITIF
Adi nata Al amin,1,2023-02-10 13:45:27,"Kenapa harus beli masa tanggal aktif kalo sudah di isi pulsa nya harus sudah perpanjang pantesan Indonesia gk maju sudah pulsa nya mahal lebih baik telkomsel di hapuskan aja di muka bumi ini menyusah kan rakyat Indonesia aja, berpikir donk pake logika seenak nya aja pikir rakyat Indonesia ini bukan kaya semua gimana mereka yg gk punya uang mau nelpon keluarga gimana kalo harus beli massa tanggal aktif berpikir donk bukan apa nya ini karena ini Indonesia harus di mudah kan gimana mau maju",NEGATIF
Zaman Now,5,2023-02-20 19:30:41,MyTelkomes mantap,POSITIF
Misykha Rubiah,5,2023-02-01 03:54:48,Aplikasi lengkap,POSITIF
Ciprut Ciprut,5,2023-02-07 00:49:00,sangat cepat dan gampang,POSITIF
Saifulmasnu Saifulmasnu,5,2023-02-28 09:49:59,Belum pernah dapat hadia,NETRAL
Yusuf Hartama,3,2023-02-04 02:01:57,semoga aja dengan adanya acara tsb makin banyak yg memakai aplikasi ini maju dan sukses slalu..,NETRAL
Safran Fauzi,5,2023-02-02 01:57:20,kereen Telkomsel meskipun terkadang suka sulit jaringanmu tapi hadiah kuota gratis tidak pernah sulit..,NETRAL
Febrian 72,5,2023-02-28 13:13:08,"Terimakasih banyak MyTelkomsel sudah mengadakan fitur jaga pulsa, dengan begini pulsa lebih aman walau kondisi kuota habis, hanya sekarang kendala berada di sinyal semoga semakin berkembang dan maju",NETRAL
khairul afis,1,2023-02-03 12:10:49,Sangat kecewa dan payah,NEGATIF
PS RYAN OFFICIAL,1,2023-02-02 12:52:00,Leg bet si kartu dakjal beli mahal mahal jaringan leg gak memuaskan tai mending pke kartu lain njis mhal lemot bet gile bau bau karu lemot,NEGATIF
Rahmad Dani,5,2023-02-25 23:04:45,sangat mantap sekali,POSITIF
Athyzerril 2019,5,2023-02-04 01:58:18,jaringan terpercaya,POSITIF
Bahtiar M,5,2023-02-01 16:01:59,keren abis,POSITIF
alto malih,5,2023-02-06 03:38:07,Kuota hot promo gak ada lagi tolong dong,NETRAL
Rahman Dani,4,2023-02-22 14:31:18,terima kasih atas layanan dari telkomsel,POSITIF
Irsan Wirangga,2,2023-02-10 05:27:09,"tolong kouta internet unlimited jangan di hilangkan, tolong munculkan lagi",NETRAL
VannyTzy,1,2023-02-01 08:24:48,Udah mahal ngelag paraah,NEGATIF
Weni Aja,5,2023-02-14 09:05:59,Wah rekomendasi banget aku gk nyaka kalo beli kuota pelanggan baru hrganya Rp 0.kukira bayar ayo donwload my telkomsel aku jamin gk nyesel.tross pasbayar pulsa tinggal sat.set udah deh,POSITIF
Etelin Putra Hia,5,2023-02-04 09:54:37,"satu keunggulan telkomsel, help center nya bisa diandalkan",POSITIF
Mang Dc,1,2023-02-07 19:21:01,Pelayanan yang sangat buruk Pemotongan pulsa yang sangat tidak jelas,NEGATIF
AGIL GAMING,5,2023-02-06 02:25:42,pokoknya aplikasinya sangat baik,POSITIF
Ibnu Loll,3,2023-02-21 13:30:08,"Harga kouta nya terlalu mahal,,kali kali bisa dapat kouta gratis walau beberapa GB saja",NETRAL
Imam Subakti3008,5,2023-02-07 01:49:48,good tapi mahalllll,NETRAL
M fais Fais aza,3,2023-02-11 00:05:50,sangat membantu,POSITIF
Yulius Gobai,5,2023-02-08 03:19:52,Saya updata agar mudah lancar lkut,NETRAL
Ely Herbudiati,5,2023-02-02 06:17:16,oke pokoke,POSITIF
IRFAN Rakesa,5,2023-02-12 11:28:24,saya sangat bersyukur,POSITIF
Lufki Ardian,5,2023-02-07 08:34:23,"okeeee, cepat dan mudah",POSITIF
imam patoni,1,2023-02-01 06:50:00,Percuma ada apk klo jaringannya buruk perbaiki jaringan dlu woi baru berguna ini apk😡 Buruuuuuk!',NEGATIF
Rama Cahya,2,2023-02-28 03:40:19,"Masih banyak bug nya atau gangguan jaringan, beli pulsa pake metode pembayaran dana, udah ketarik saldonya, ada sms dari telkomsel juga, tapi di cek manual sama di cek di apk ini sama aja masih Rp0 pulsa gua",NEGATIF
sugimin tck,5,2023-02-07 09:45:31,Woh hoh.. hoh.. hoh..,NETRAL
reza salfi,1,2023-02-07 12:30:06,Paket telkomsel mahal mahal,NEGATIF
Daeng Itho,4,2023-02-04 06:34:18,aku sih puas tapi klo harganya murah jgan dinaikkan dan klo.bsa bagi bagi hadiahlah atw pulsa grtis,NETRAL
Yahya Aliyu Rohim,2,2023-02-11 10:41:35,"Assalamu'alaikum min, selamat sore. Maaf mengganggu. Ini saya mau ngasih keluhan : 1. utk aplikasinya kurang senang aku nya soalnya pas beli kuota internet di aplikasi malahan cuman sekali beli + gk ada unlimited nya. Seharusnya di update lagi min yg berkaitan ini biar kalo beli kuota internet di aplikasi bisa dibeli lagi kuota internetnya. 2. Saya mau update aplikasi my telkomsel tetep nggk bisa min padahal hp saya udah windows 11. Mohon diusahakan ya min 🙏🏻",NEGATIF
Pace Crypto,1,2023-02-07 00:18:57,"Aku tertarik karena ada event chek in.nya tapi ku fikir tiap bulan ternyata tidak menentu. Kalau bisa chek inNya khususnya rewardnya, kasih panjang expirednya. Jangan cuma sehari sja dong biar bnyak tuh yang tertarik download aplikasinya.",NETRAL
Dan Hamdan,5,2023-02-18 21:28:52,"saya malas my telkomsel ,bentar di instalkadang di copot tapi lama""jadi biasa pake my telkomsel.",NETRAL
Megi Saputra,4,2023-02-10 00:57:30,di Bingin teluk lokasi layanan Telkomsel cukup memuaskan,POSITIF
Trxroster,1,2023-02-01 11:36:11,"Percuma buka my Telkomsel untuk daily cek in nya tidak bisa mendapatkan kuota internet karna di mulai dari tgl 10an, aplikasi Telkomsel sangat tidak berguna sekali sekarang.",NEGATIF
Kombet Tea,1,2023-02-20 04:47:52,"Kenapa jd gk bisa klaim reward yah,",NEGATIF
Aji Wahyu,1,2023-02-18 13:55:53,"Isi kouta tidak sesuai dengan deskripsi'ya,",NEGATIF
Edi Sudarto,5,2023-02-01 11:45:43,Bagus sekali......👍👍👍👍👍,POSITIF
nugie alfarizal,3,2023-02-07 10:24:18,8iiii Iin iii ok Iin i1sedii iioioi,NETRAL
Akram Illahi,5,2023-02-11 13:19:43,Aplikasi nya bagus bet jadi gampang mau beli paketan trimakasih banyak untuk developor yang menciptakan mytelkomsel ini,POSITIF
Nofri Naldi,5,2023-02-20 12:33:38,makin keren,POSITIF
Takdir Munir,1,2023-02-10 08:08:20,Jaringan setan babi,NEGATIF
Agus Sukma Hidayat,1,2023-02-10 18:00:48,G niat ngasih bonus.,NEGATIF
Ismiati Saja,5,2023-02-28 12:28:18,"Bagus,tapi kok habis jam 19:00 selalu hilang ya???",NEGATIF
Sumarhadi Lari,1,2023-02-26 18:01:24,membantu juga bagi pengguna HP androit di tempat jaringan yg bagus..,POSITIF
Ardian Fadianto,2,2023-02-28 16:34:41,"Mau bayar tagihan ja susah,jaringan lah,sistem lah yg salah,ntar lebih dr pemakaian tenggatnya yg ada denda pajak per bulannya,per tanggal 20,klo cari untung jangan akali customer min!!",NEGATIF
Ana Lamon Jihadillah,5,2023-02-08 14:28:49,info lengkap..memudahkan dan cepat,POSITIF
Jef Fri,1,2023-02-10 09:57:04,Udah lemot paket banyak paket darurat aktif lagi sebel deh jadiny pakat darurat jangan ada lagi dong potong potong pulsa ga jelas,NEGATIF
Fans My Hero Academia,5,2023-02-16 16:18:36,Makasih Telkomsel Sudah mau mau mengadakan paket murah buat yang jarang daftar paket...dan saya sebagai masyarakat kecil sangat terbantu dengan telkomsel karena harga paket spesial saya murah dan sering mengadakan paket kuota 12gb makasih telkomsel semoga sukses selalu dan tetap mempertahanlan harga paket untuk memudahkan masyarakat seperti kami ❤,POSITIF
Batu Mas,1,2023-02-04 14:32:38,Padahal saya dapat bonus exstra pulsa Rp 50.000 setelah saya paket buat telpon pulsanya habis tidak mati malahan ngehabisin pulsa asli saya tidak masuk akal.,NEGATIF
uswatun Muthi'ah,2,2023-02-11 10:01:52,paketan mahal signal tiba2 hilang waktu main game,NEGATIF
Masum Alfata,5,2023-02-03 04:30:23,promonya banyakin lagi,NETRAL
M. Untung Jamanto,1,2023-02-11 15:49:52,"Lawak makin kapitalis aja nih kartu, otw ganti yg lain ajalah...",NEGATIF
Muhammad raffi Padillah,5,2023-02-22 18:03:04,sangat bagusss,POSITIF
Rudiana Syampurna,3,2023-02-27 02:48:04,"Sedih banget sekarang mau check-in aja harus nambah stamp kalo mau sampai beres, padahal dulu seru banget gak ada gini gini. Semoga balik lagi ke dulu, ada jelajah nusantara yang mau reward harus beli pulsa atau paket, jangan sekarang check in juga harus beli dulu paket buat nambah stamp",NEGATIF
Solihin Boy,1,2023-02-01 01:13:16,Layanan.bagus,POSITIF
Ramadhan Dhan,5,2023-02-06 03:30:22,terbaik memeng,POSITIF
Evania Hastuti,4,2023-02-03 12:19:57,jaringan cepat,POSITIF
Ramos Alvaro,5,2023-02-24 12:59:49,bagus apknya,POSITIF
LALU SUPIAN ARYA WIRAHADI (SUPIAN),4,2023-02-28 20:38:47,Saya sangat suka dengan aplikasi nya mudah di mengerti jaringan mulai oke lah tapi tolong selalu ada hot promo atau harga yang terjangkau lah karena ekonomi saya sulit,NETRAL
Fauzi Chandra,4,2023-02-05 02:07:03,Semoga layanannya lebih baik lagi kedpnnya dan makin canggih teknologinya.,NETRAL
Woro Wahyu,5,2023-02-13 03:43:03,tingkatkan lg jaringannya,NETRAL
Nur Nuridin,5,2023-02-28 05:55:57,wahhhhbagus,POSITIF
endang suhendar,5,2023-02-13 08:14:40,gmn cara nya mau beli pake m banking,NETRAL
Rama kurniawan Permana putra,1,2023-02-10 10:36:50,sinyal jelek kalo ujan,NEGATIF
fengki ahmad hakiki,5,2023-02-01 05:44:22,Metode pembayrannya tolong ditambah bank bca dong,NETRAL
UJANG SURYADI,5,2023-02-11 13:30:26,Okelah Kalau Begitu...,POSITIF
Septiana Anika sari,4,2023-02-27 12:44:10,layanan lancar,POSITIF
Alok Kuang,1,2023-02-26 13:05:40,Memekk di umakmu,NEGATIF
Imas Deri,5,2023-02-28 12:09:49,telkomsel memang memuaskan,POSITIF
Doli Watari,5,2023-02-28 00:56:14,"blum terbaik dan saya masih setia dgn ini, nanti klau dah coba jaringan swasta yg lain takut ketagihan dan berpaling 😁 🤔... #telkomselPenting, #TelkomselTerbaik, #TekomselTetapTerbaik, #3T,",NETRAL
Asimu Duk,5,2023-02-04 22:22:08,saya sangat suka dengan gaya nya,POSITIF
Ilham Ramadhani Mulyana,1,2023-02-02 17:40:15,"Sinyalnya SANGAT BURUK TELKOMSEL paket mahal sinyal redup mulu,",NEGATIF
Ari Abdul,5,2023-02-02 13:35:13,"untuk paylaternya sih mantap ya,cuman limitnya naikin dong",NETRAL
Arifin Banjar,3,2023-02-05 10:32:48,Tentu sudah pakai aplikasi ya,NETRAL
Megumine,5,2023-02-22 00:33:11,memberi laik,POSITIF
Siti Kurnia,4,2023-02-20 03:10:32,"Bagus, hanya saja tolong di perbaiki.. baru saja mendapat peringatan kuota habis, tetapi lgsg habis pula pulsa nya. Tidak ada jeda sama sekali.",NETRAL
Budi Santoso,1,2023-02-22 06:24:31,"Pulsa ga dipakai,kuota data masih 9Gb tp pulsa berkurang sendiri. Maksudnya apa ini",NEGATIF
April 04,3,2023-02-01 06:15:38,bgus sih ... kdg jringny suka lemat jg akhir²ini,NETRAL
Aka Gani,1,2023-02-07 14:34:08,Menang mahal nya doank jaringan nya ayo aja lelet???kalah Ama yg sebelah murah jaringan nya sama Ama Telkomsel ogaaah pakek Telkomsel paling ga kehilangan satu pelanggan,NEGATIF
Mahkota 69,1,2023-02-28 20:09:33,"Setiap hari cek in, giliran hari mau claim kuota, kami akan kembali..!! Setan emang..!! Outo dellete aplikasinya 👎",NEGATIF
latip Usman,5,2023-02-09 02:50:53,Apl baik bagus pula,POSITIF
Faiz Faiz,4,2023-02-27 08:15:39,sangat mudah dan rekomendasikan,POSITIF
pdp mahameru,5,2023-02-03 23:13:10,No choice better,NETRAL
Yuda Yuda,2,2023-02-01 08:46:58,Kenpa gak ada gratisannya Gak kayak aplikasi sebelah,NEGATIF
Herdis Jang,5,2023-02-02 06:37:07,yang lebih baik lagi,POSITIF
Azfar 397,5,2023-02-25 09:23:25,suka banget..👍,POSITIF
ulan tung,1,2023-02-03 01:49:22,kenapa ga bisa di instal ya min ?,NETRAL
Awis Man,5,2023-02-03 15:24:21,bgs mantap.minimal jangan sampe la point juga di hilangkan,NETRAL
