Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
saya kasih bintang lima karena untuk pelayanan custemer servis nya telkomsel sangat profesional untuk pekerjaan nya. yg langsung dtg kelokasi/area untuk pemasalaham jaringan internet yg lambat/lag. untuk para pengguna telkomsel apa bila di daerah anda mengalami masalah jaringan internet yg lambat/lag sebaik nya ikuti apa yg di intruksi kan oleh CS telkomsel. bisa langsung kirim kan email yg tercantum di my telkomsel.,saya kasih bintang lima karena untuk pelayanan custemer servis nya telkomsel sangat profesional untuk pekerjaan nya. yg langsung dtg kelokasi/area untuk pemasalaham jaringan internet yg lambat/lag. untuk para pengguna telkomsel apa bila di daerah anda mengalami masalah jaringan internet yg lambat/lag sebaik nya ikuti apa yg di intruksi kan oleh cs telkomsel. bisa langsung kirim kan email yg tercantum di my telkomsel.,saya kasih bintang lima karena untuk pelayanan custemer servis nya telkomsel sangat profesional untuk pekerjaan nya  yg langsung dtg kelokasi area untuk pemasalaham jaringan internet yg lambat lag  untuk para pengguna telkomsel apa bila di daerah anda mengalami masalah jaringan internet yg lambat lag sebaik nya ikuti apa yg di intruksi kan oleh cs telkomsel  bisa langsung kirim kan email yg tercantum di my telkomsel ,saya kasih bintang lima karena untuk pelayanan custemer servis nya telkomsel sangat profesional untuk pekerjaan nya  yg langsung dtg kelokasi area untuk pemasalaham jaringan internet yg lambat lag  untuk para pengguna telkomsel apa bila di daerah anda mengalami masalah jaringan internet yg lambat lag sebaik nya ikuti apa yg di intruksi kan oleh cs telkomsel  bisa langsung kirim kan email yg tercantum di my telkomsel ,"['saya', 'kasih', 'bintang', 'lima', 'karena', 'untuk', 'pelayanan', 'custemer', 'servis', 'nya', 'telkomsel', 'sangat', 'profesional', 'untuk', 'pekerjaan', 'nya', 'yg', 'langsung', 'dtg', 'kelokasi', 'area', 'untuk', 'pemasalaham', 'jaringan', 'internet', 'yg', 'lambat', 'lag', 'untuk', 'para', 'pengguna', 'telkomsel', 'apa', 'bila', 'di', 'daerah', 'anda', 'mengalami', 'masalah', 'jaringan', 'internet', 'yg', 'lambat', 'lag', 'sebaik', 'nya', 'ikuti', 'apa', 'yg', 'di', 'intruksi', 'kan', 'oleh', 'cs', 'telkomsel', 'bisa', 'langsung', 'kirim', 'kan', 'email', 'yg', 'tercantum', 'di', 'my', 'telkomsel']","['saya', 'kasih', 'bintang', 'lima', 'karena', 'untuk', 'pelayanan', 'customer', 'service', 'nya', 'telkomsel', 'sangat', 'profesional', 'untuk', 'pekerjaan', 'nya', 'yang', 'langsung', 'datang', 'ke lokasi', 'area', 'untuk', 'pemasalahan', 'jaringan', 'internet', 'yang', 'lambat', 'lag', 'untuk', 'para', 'pengguna', 'telkomsel', 'apa', 'bila', 'di', 'daerah', 'anda', 'mengalami', 'masalah', 'jaringan', 'internet', 'yang', 'lambat', 'lag', 'sebaik', 'nya', 'ikuti', 'apa', 'yang', 'di', 'instruksi', 'kan', 'oleh', 'cs', 'telkomsel', 'bisa', 'langsung', 'kirim', 'kan', 'email', 'yang', 'tercantum', 'di', 'my', 'telkomsel']","['kasih', 'bintang', 'lima', 'pelayanan', 'customer', 'service', 'nya', 'telkomsel', 'sangat', 'profesional', 'pekerjaan', 'nya', 'langsung', 'datang', 'ke lokasi', 'area', 'pemasalahan', 'jaringan', 'internet', 'lambat', 'lag', 'pengguna', 'telkomsel', 'apa', 'bila', 'daerah', 'mengalami', 'masalah', 'jaringan', 'internet', 'lambat', 'lag', 'sebaik', 'nya', 'ikuti', 'apa', 'instruksi', 'kan', 'cs', 'telkomsel', 'langsung', 'kirim', 'kan', 'email', 'tercantum', 'my', 'telkomsel']",kasih bintang lima layan customer service nya telkomsel sangat profesional kerja nya langsung datang ke lokasi area masalah jaring internet lambat lag guna telkomsel apa bila daerah alami masalah jaring internet lambat lag baik nya ikut apa instruksi kan cs telkomsel langsung kirim kan email cantum my telkomsel,POSITIF
Pintu â @sanmi7,pintu â @sanmi7,pintu â  sanmi7,pintu â  sanmi,"['pintu', 'â\x86\x92', 'sanmi']","['pintu', 'â\x86\x92', 'sanmi']","['pintu', 'â\x86\x92', 'sanmi']",pintu sanmi,NETRAL
apk yg sangat bagus saya suka,apk yg sangat bagus saya suka,apk yg sangat bagus saya suka,apk yg sangat bagus saya suka,"['apk', 'yg', 'sangat', 'bagus', 'saya', 'suka']","['aplikasi', 'yang', 'sangat', 'bagus', 'saya', 'suka']","['aplikasi', 'sangat', 'bagus', 'suka']",aplikasi sangat bagus suka,POSITIF
"Kenapa harus beli masa tanggal aktif kalo sudah di isi pulsa nya harus sudah perpanjang pantesan Indonesia gk maju sudah pulsa nya mahal lebih baik telkomsel di hapuskan aja di muka bumi ini menyusah kan rakyat Indonesia aja, berpikir donk pake logika seenak nya aja pikir rakyat Indonesia ini bukan kaya semua gimana mereka yg gk punya uang mau nelpon keluarga gimana kalo harus beli massa tanggal aktif berpikir donk bukan apa nya ini karena ini Indonesia harus di mudah kan gimana mau maju","kenapa harus beli masa tanggal aktif kalo sudah di isi pulsa nya harus sudah perpanjang pantesan indonesia gk maju sudah pulsa nya mahal lebih baik telkomsel di hapuskan aja di muka bumi ini menyusah kan rakyat indonesia aja, berpikir donk pake logika seenak nya aja pikir rakyat indonesia ini bukan kaya semua gimana mereka yg gk punya uang mau nelpon keluarga gimana kalo harus beli massa tanggal aktif berpikir donk bukan apa nya ini karena ini indonesia harus di mudah kan gimana mau maju",kenapa harus beli masa tanggal aktif kalo sudah di isi pulsa nya harus sudah perpanjang pantesan indonesia gk maju sudah pulsa nya mahal lebih baik telkomsel di hapuskan aja di muka bumi ini menyusah kan rakyat indonesia aja  berpikir donk pake logika seenak nya aja pikir rakyat indonesia ini bukan kaya semua gimana mereka yg gk punya uang mau nelpon keluarga gimana kalo harus beli massa tanggal aktif berpikir donk bukan apa nya ini karena ini indonesia harus di mudah kan gimana mau maju,kenapa harus beli masa tanggal aktif kalo sudah di isi pulsa nya harus sudah perpanjang pantesan indonesia gk maju sudah pulsa nya mahal lebih baik telkomsel di hapuskan aja di muka bumi ini menyusah kan rakyat indonesia aja  berpikir donk pake logika seenak nya aja pikir rakyat indonesia ini bukan kaya semua gimana mereka yg gk punya uang mau nelpon keluarga gimana kalo harus beli massa tanggal aktif berpikir donk bukan apa nya ini karena ini indonesia harus di mudah kan gimana mau maju,"['kenapa', 'harus', 'beli', 'masa', 'tanggal', 'aktif', 'kalo', 'sudah', 'di', 'isi', 'pulsa', 'nya', 'harus', 'sudah', 'perpanjang', 'pantesan', 'indonesia', 'gk', 'maju', 'sudah', 'pulsa', 'nya', 'mahal', 'lebih', 'baik', 'telkomsel', 'di', 'hapuskan', 'aja', 'di', 'muka', 'bumi', 'ini', 'menyusah', 'kan', 'rakyat', 'indonesia', 'aja', 'berpikir', 'donk', 'pake', 'logika', 'seenak', 'nya', 'aja', 'pikir', 'rakyat', 'indonesia', 'ini', 'bukan', 'kaya', 'semua', 'gimana', 'mereka', 'yg', 'gk', 'punya', 'uang', 'mau', 'nelpon', 'keluarga', 'gimana', 'kalo', 'harus', 'beli', 'massa', 'tanggal', 'aktif', 'berpikir', 'donk', 'bukan', 'apa', 'nya', 'ini', 'karena', 'ini', 'indonesia', 'harus', 'di', 'mudah', 'kan', 'gimana', 'mau', 'maju']","['kenapa', 'harus', 'beli', 'masa', 'tanggal', 'aktif', 'kalau', 'sudah', 'di', 'isi', 'pulsa', 'nya', 'harus', 'sudah', 'perpanjang', 'pantas', 'indonesia', 'tidak', 'maju', 'sudah', 'pulsa', 'nya', 'mahal', 'lebih', 'baik', 'telkomsel', 'di', 'hapuskan', 'saja', 'di', 'muka', 'bumi', 'ini', 'menyusahkan', 'kan', 'rakyat', 'indonesia', 'saja', 'berpikir', 'dong', 'pakai', 'logika', 'seenak', 'nya', 'saja', 'pikir', 'rakyat', 'indonesia', 'ini', 'bukan', 'kaya', 'semua', 'bagaimana', 'mereka', 'yang', 'tidak', 'punya', 'uang', 'mau', 'menelepon', 'keluarga', 'bagaimana', 'kalau', 'harus', 'beli', 'massa', 'tanggal', 'aktif', 'berpikir', 'dong', 'bukan', 'apa', 'nya', 'ini', 'karena', 'ini', 'indonesia', 'harus', 'di', 'mudah', 'kan', 'bagaimana', 'mau', 'maju']","['beli', 'masa', 'tanggal', 'aktif', 'kalau', 'isi', 'pulsa', 'nya', 'perpanjang', 'pantas', 'indonesia', 'tidak', 'maju', 'pulsa', 'nya', 'mahal', 'lebih', 'baik', 'telkomsel', 'hapuskan', 'muka', 'bumi', 'menyusahkan', 'kan', 'rakyat', 'indonesia', 'berpikir', 'dong', 'pakai', 'logika', 'seenak', 'nya', 'pikir', 'rakyat', 'indonesia', 'bukan', 'kaya', 'semua', 'bagaimana', 'tidak', 'punya', 'uang', 'mau', 'menelepon', 'keluarga', 'bagaimana', 'kalau', 'beli', 'massa', 'tanggal', 'aktif', 'berpikir', 'dong', 'bukan', 'apa', 'nya', 'indonesia', 'mudah', 'kan', 'bagaimana', 'mau', 'maju']",beli masa tanggal aktif kalau isi pulsa nya panjang pantas indonesia tidak maju pulsa nya mahal lebih baik telkomsel hapus muka bumi susah kan rakyat indonesia pikir dong pakai logika enak nya pikir rakyat indonesia bukan kaya semua bagaimana tidak punya uang mau telepon keluarga bagaimana kalau beli massa tanggal aktif pikir dong bukan apa nya indonesia mudah kan bagaimana mau maju,NEGATIF
MyTelkomes mantap,mytelkomes mantap,mytelkomes mantap,mytelkomes mantap,"['mytelkomes', 'mantap']","['mytelkomsel', 'mantap']","['mytelkomsel', 'mantap']",mytelkomsel mantap,POSITIF
Aplikasi lengkap,aplikasi lengkap,aplikasi lengkap,aplikasi lengkap,"['aplikasi', 'lengkap']","['aplikasi', 'lengkap']","['aplikasi', 'lengkap']",aplikasi lengkap,POSITIF
sangat cepat dan gampang,sangat cepat dan gampang,sangat cepat dan gampang,sangat cepat dan gampang,"['sangat', 'cepat', 'dan', 'gampang']","['sangat', 'cepat', 'dan', 'gampang']","['sangat', 'cepat', 'gampang']",sangat cepat gampang,POSITIF
Belum pernah dapat hadia,belum pernah dapat hadia,belum pernah dapat hadia,belum pernah dapat hadia,"['belum', 'pernah', 'dapat', 'hadia']","['belum', 'pernah', 'dapat', 'hadiah']","['belum', 'pernah', 'hadiah']",belum pernah hadiah,NETRAL
semoga aja dengan adanya acara tsb makin banyak yg memakai aplikasi ini maju dan sukses slalu..,semoga aja dengan adanya acara tsb makin banyak yg memakai aplikasi ini maju dan sukses slalu..,semoga aja dengan adanya acara tsb makin banyak yg memakai aplikasi ini maju dan sukses slalu  ,semoga aja dengan adanya acara tsb makin banyak yg memakai aplikasi ini maju dan sukses slalu  ,"['semoga', 'aja', 'dengan', 'adanya', 'acara', 'tsb', 'makin', 'banyak', 'yg', 'memakai', 'aplikasi', 'ini', 'maju', 'dan', 'sukses', 'slalu']","['semoga', 'saja', 'dengan', 'adanya', 'acara', 'tersebut', 'makin', 'banyak', 'yang', 'memakai', 'aplikasi', 'ini', 'maju', 'dan', 'sukses', 'selalu']","['semoga', 'adanya', 'acara', 'tersebut', 'makin', 'banyak', 'memakai', 'aplikasi', 'maju', 'sukses', 'selalu']",moga ada acara sebut makin banyak pakai aplikasi maju sukses selalu,NETRAL
kereen Telkomsel meskipun terkadang suka sulit jaringanmu tapi hadiah kuota gratis tidak pernah sulit..,kereen telkomsel meskipun terkadang suka sulit jaringanmu tapi hadiah kuota gratis tidak pernah sulit..,kereen telkomsel meskipun terkadang suka sulit jaringanmu tapi hadiah kuota gratis tidak pernah sulit  ,kereen telkomsel meskipun terkadang suka sulit jaringanmu tapi hadiah kuota gratis tidak pernah sulit  ,"['kereen', 'telkomsel', 'meskipun', 'terkadang', 'suka', 'sulit', 'jaringanmu', 'tapi', 'hadiah', 'kuota', 'gratis', 'tidak', 'pernah', 'sulit']","['keren', 'telkomsel', 'meskipun', 'terkadang', 'suka', 'sulit', 'jaringanmu', 'tapi', 'hadiah', 'kuota', 'gratis', 'tidak', 'pernah', 'sulit']","['keren', 'telkomsel', 'meskipun', 'terkadang', 'suka', 'sulit', 'jaringanmu', 'hadiah', 'kuota', 'gratis', 'tidak', 'pernah', 'sulit']",keren telkomsel meski terkadang suka sulit jaring hadiah kuota gratis tidak pernah sulit,NETRAL
"Terimakasih banyak MyTelkomsel sudah mengadakan fitur jaga pulsa, dengan begini pulsa lebih aman walau kondisi kuota habis, hanya sekarang kendala berada di sinyal semoga semakin berkembang dan maju","terimakasih banyak mytelkomsel sudah mengadakan fitur jaga pulsa, dengan begini pulsa lebih aman walau kondisi kuota habis, hanya sekarang kendala berada di sinyal semoga semakin berkembang dan maju",terimakasih banyak mytelkomsel sudah mengadakan fitur jaga pulsa  dengan begini pulsa lebih aman walau kondisi kuota habis  hanya sekarang kendala berada di sinyal semoga semakin berkembang dan maju,terimakasih banyak mytelkomsel sudah mengadakan fitur jaga pulsa  dengan begini pulsa lebih aman walau kondisi kuota habis  hanya sekarang kendala berada di sinyal semoga semakin berkembang dan maju,"['terimakasih', 'banyak', 'mytelkomsel', 'sudah', 'mengadakan', 'fitur', 'jaga', 'pulsa', 'dengan', 'begini', 'pulsa', 'lebih', 'aman', 'walau', 'kondisi', 'kuota', 'habis', 'hanya', 'sekarang', 'kendala', 'berada', 'di', 'sinyal', 'semoga', 'semakin', 'berkembang', 'dan', 'maju']","['terima kasih', 'banyak', 'mytelkomsel', 'sudah', 'mengadakan', 'fitur', 'jaga', 'pulsa', 'dengan', 'begini', 'pulsa', 'lebih', 'aman', 'walau', 'kondisi', 'kuota', 'habis', 'hanya', 'sekarang', 'kendala', 'berada', 'di', 'sinyal', 'semoga', 'semakin', 'berkembang', 'dan', 'maju']","['terima kasih', 'banyak', 'mytelkomsel', 'mengadakan', 'fitur', 'jaga', 'pulsa', 'begini', 'pulsa', 'lebih', 'aman', 'kondisi', 'kuota', 'habis', 'sekarang', 'kendala', 'berada', 'sinyal', 'semoga', 'semakin', 'berkembang', 'maju']",terima kasih banyak mytelkomsel ada fitur jaga pulsa begini pulsa lebih aman kondisi kuota habis sekarang kendala ada sinyal moga makin kembang maju,NETRAL
Sangat kecewa dan payah,sangat kecewa dan payah,sangat kecewa dan payah,sangat kecewa dan payah,"['sangat', 'kecewa', 'dan', 'payah']","['sangat', 'kecewa', 'dan', 'payah']","['sangat', 'kecewa', 'payah']",sangat kecewa payah,NEGATIF
Leg bet si kartu dakjal beli mahal mahal jaringan leg gak memuaskan tai mending pke kartu lain njis mhal lemot bet gile bau bau karu lemot,leg bet si kartu dakjal beli mahal mahal jaringan leg gak memuaskan tai mending pke kartu lain njis mhal lemot bet gile bau bau karu lemot,leg bet si kartu dakjal beli mahal mahal jaringan leg gak memuaskan tai mending pke kartu lain njis mhal lemot bet gile bau bau karu lemot,leg bet si kartu dakjal beli mahal mahal jaringan leg gak memuaskan tai mending pke kartu lain njis mhal lemot bet gile bau bau karu lemot,"['leg', 'bet', 'si', 'kartu', 'dakjal', 'beli', 'mahal', 'mahal', 'jaringan', 'leg', 'gak', 'memuaskan', 'tai', 'mending', 'pke', 'kartu', 'lain', 'njis', 'mhal', 'lemot', 'bet', 'gile', 'bau', 'bau', 'karu', 'lemot']","['lag', 'bet', 'si', 'kartu', 'dajal', 'beli', 'mahal', 'mahal', 'jaringan', 'lag', 'tidak', 'memuaskan', 'tai', 'mending', 'pakai', 'kartu', 'lain', 'najis', 'mahal', 'lambat', 'bet', 'gila', 'bau', 'bau', 'karuan', 'lambat']","['lag', 'bet', 'si', 'kartu', 'dajal', 'beli', 'mahal', 'mahal', 'jaringan', 'lag', 'tidak', 'memuaskan', 'tai', 'mending', 'pakai', 'kartu', 'najis', 'mahal', 'lambat', 'bet', 'gila', 'bau', 'bau', 'karuan', 'lambat']",lag bet si kartu dajal beli mahal mahal jaring lag tidak muas tai mending pakai kartu najis mahal lambat bet gila bau bau karuan lambat,NEGATIF
sangat mantap sekali,sangat mantap sekali,sangat mantap sekali,sangat mantap sekali,"['sangat', 'mantap', 'sekali']","['sangat', 'mantap', 'sekali']","['sangat', 'mantap', 'sekali']",sangat mantap sekali,POSITIF
jaringan terpercaya,jaringan terpercaya,jaringan terpercaya,jaringan terpercaya,"['jaringan', 'terpercaya']","['jaringan', 'terpercaya']","['jaringan', 'terpercaya']",jaring percaya,POSITIF
keren abis,keren abis,keren abis,keren abis,"['keren', 'abis']","['keren', 'habis']","['keren', 'habis']",keren habis,POSITIF
Kuota hot promo gak ada lagi tolong dong,kuota hot promo gak ada lagi tolong dong,kuota hot promo gak ada lagi tolong dong,kuota hot promo gak ada lagi tolong dong,"['kuota', 'hot', 'promo', 'gak', 'ada', 'lagi', 'tolong', 'dong']","['kuota', 'hot', 'promo', 'tidak', 'ada', 'lagi', 'tolong', 'dong']","['kuota', 'hot', 'promo', 'tidak', 'dong']",kuota hot promo tidak dong,NETRAL
terima kasih atas layanan dari telkomsel,terima kasih atas layanan dari telkomsel,terima kasih atas layanan dari telkomsel,terima kasih atas layanan dari telkomsel,"['terima', 'kasih', 'atas', 'layanan', 'dari', 'telkomsel']","['terima', 'kasih', 'atas', 'layanan', 'dari', 'telkomsel']","['terima', 'kasih', 'atas', 'layanan', 'telkomsel']",terima kasih atas layan telkomsel,POSITIF
"tolong kouta internet unlimited jangan di hilangkan, tolong munculkan lagi","tolong kouta internet unlimited jangan di hilangkan, tolong munculkan lagi",tolong kouta internet unlimited jangan di hilangkan  tolong munculkan lagi,tolong kouta internet unlimited jangan di hilangkan  tolong munculkan lagi,"['tolong', 'kouta', 'internet', 'unlimited', 'jangan', 'di', 'hilangkan', 'tolong', 'munculkan', 'lagi']","['tolong', 'kouta', 'internet', 'unlimited', 'jangan', 'di', 'hilangkan', 'tolong', 'munculkan', 'lagi']","['kouta', 'internet', 'unlimited', 'jangan', 'hilangkan', 'munculkan']",kouta internet unlimited jangan hilang muncul,NETRAL
Udah mahal ngelag paraah,udah mahal ngelag paraah,udah mahal ngelag paraah,udah mahal ngelag paraah,"['udah', 'mahal', 'ngelag', 'paraah']","['sudah', 'mahal', 'lag', 'parah']","['mahal', 'lag', 'parah']",mahal lag parah,NEGATIF
Wah rekomendasi banget aku gk nyaka kalo beli kuota pelanggan baru hrganya Rp 0.kukira bayar ayo donwload my telkomsel aku jamin gk nyesel.tross pasbayar pulsa tinggal sat.set udah deh,wah rekomendasi banget aku gk nyaka kalo beli kuota pelanggan baru hrganya rp 0.kukira bayar ayo donwload my telkomsel aku jamin gk nyesel.tross pasbayar pulsa tinggal sat.set udah deh,wah rekomendasi banget aku gk nyaka kalo beli kuota pelanggan baru hrganya rp 0 kukira bayar ayo donwload my telkomsel aku jamin gk nyesel tross pasbayar pulsa tinggal sat set udah deh,wah rekomendasi banget aku gk nyaka kalo beli kuota pelanggan baru hrganya rp  kukira bayar ayo donwload my telkomsel aku jamin gk nyesel tross pasbayar pulsa tinggal sat set udah deh,"['wah', 'rekomendasi', 'banget', 'aku', 'gk', 'nyaka', 'kalo', 'beli', 'kuota', 'pelanggan', 'baru', 'hrganya', 'rp', 'kukira', 'bayar', 'ayo', 'donwload', 'my', 'telkomsel', 'aku', 'jamin', 'gk', 'nyesel', 'tross', 'pasbayar', 'pulsa', 'tinggal', 'sat', 'set', 'udah', 'deh']","['wah', 'rekomendasi', 'banget', 'aku', 'tidak', 'menyala', 'kalau', 'beli', 'kuota', 'pelanggan', 'baru', 'harganya', 'rupiah', 'kukira', 'bayar', 'ayo', 'download', 'my', 'telkomsel', 'aku', 'jamin', 'tidak', 'menyesal', 'terus', 'waktu bayar', 'pulsa', 'tinggal', 'sat', 'set', 'sudah', 'deh']","['wah', 'rekomendasi', 'banget', 'aku', 'tidak', 'menyala', 'kalau', 'beli', 'kuota', 'pelanggan', 'baru', 'harganya', 'rupiah', 'kukira', 'bayar', 'ayo', 'download', 'my', 'telkomsel', 'aku', 'jamin', 'tidak', 'menyesal', 'terus', 'waktu bayar', 'pulsa', 'tinggal', 'sat', 'set', 'deh']",wah rekomendasi banget aku tidak nyala kalau beli kuota langgan baru harga rupiah kira bayar ayo download my telkomsel aku jamin tidak sesal terus waktu bayar pulsa tinggal sat set deh,POSITIF
"satu keunggulan telkomsel, help center nya bisa diandalkan","satu keunggulan telkomsel, help center nya bisa diandalkan",satu keunggulan telkomsel  help center nya bisa diandalkan,satu keunggulan telkomsel  help center nya bisa diandalkan,"['satu', 'keunggulan', 'telkomsel', 'help', 'center', 'nya', 'bisa', 'diandalkan']","['satu', 'keunggulan', 'telkomsel', 'help', 'center', 'nya', 'bisa', 'diandalkan']","['satu', 'keunggulan', 'telkomsel', 'help', 'center', 'nya', 'diandalkan']",satu unggul telkomsel help center nya andal,POSITIF
Pelayanan yang sangat buruk Pemotongan pulsa yang sangat tidak jelas,pelayanan yang sangat buruk pemotongan pulsa yang sangat tidak jelas,pelayanan yang sangat buruk pemotongan pulsa yang sangat tidak jelas,pelayanan yang sangat buruk pemotongan pulsa yang sangat tidak jelas,"['pelayanan', 'yang', 'sangat', 'buruk', 'pemotongan', 'pulsa', 'yang', 'sangat', 'tidak', 'jelas']","['pelayanan', 'yang', 'sangat', 'buruk', 'pemotongan', 'pulsa', 'yang', 'sangat', 'tidak', 'jelas']","['pelayanan', 'sangat', 'buruk', 'pemotongan', 'pulsa', 'sangat', 'tidak', 'jelas']",layan sangat buruk potong pulsa sangat tidak jelas,NEGATIF
pokoknya aplikasinya sangat baik,pokoknya aplikasinya sangat baik,pokoknya aplikasinya sangat baik,pokoknya aplikasinya sangat baik,"['pokoknya', 'aplikasinya', 'sangat', 'baik']","['pokoknya', 'aplikasinya', 'sangat', 'baik']","['pokoknya', 'aplikasinya', 'sangat', 'baik']",pokok aplikasi sangat baik,POSITIF
"Harga kouta nya terlalu mahal,,kali kali bisa dapat kouta gratis walau beberapa GB saja","harga kouta nya terlalu mahal,,kali kali bisa dapat kouta gratis walau beberapa gb saja",harga kouta nya terlalu mahal  kali kali bisa dapat kouta gratis walau beberapa gb saja,harga kouta nya terlalu mahal  kali kali bisa dapat kouta gratis walau beberapa gb saja,"['harga', 'kouta', 'nya', 'terlalu', 'mahal', 'kali', 'kali', 'bisa', 'dapat', 'kouta', 'gratis', 'walau', 'beberapa', 'gb', 'saja']","['harga', 'kouta', 'nya', 'terlalu', 'mahal', 'kali', 'kali', 'bisa', 'dapat', 'kouta', 'gratis', 'walau', 'beberapa', 'gb', 'saja']","['harga', 'kouta', 'nya', 'terlalu', 'mahal', 'kali', 'kali', 'kouta', 'gratis', 'beberapa', 'gb']",harga kouta nya terlalu mahal kali kali kouta gratis beberapa gb,NETRAL
good tapi mahalllll,good tapi mahalllll,good tapi mahalllll,good tapi mahalllll,"['good', 'tapi', 'mahalllll']","['good', 'tapi', 'mahal']","['good', 'mahal']",good mahal,NETRAL
sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'membantu']",sangat bantu,POSITIF
Saya updata agar mudah lancar lkut,saya updata agar mudah lancar lkut,saya updata agar mudah lancar lkut,saya updata agar mudah lancar lkut,"['saya', 'updata', 'agar', 'mudah', 'lancar', 'lkut']","['saya', 'updata', 'agar', 'mudah', 'lancar', 'lkut']","['updata', 'mudah', 'lancar', 'lkut']",updata mudah lancar lkut,NETRAL
oke pokoke,oke pokoke,oke pokoke,oke pokoke,"['oke', 'pokoke']","['oke', 'pokoknya']","['oke', 'pokoknya']",oke pokok,POSITIF
saya sangat bersyukur,saya sangat bersyukur,saya sangat bersyukur,saya sangat bersyukur,"['saya', 'sangat', 'bersyukur']","['saya', 'sangat', 'bersyukur']","['sangat', 'bersyukur']",sangat syukur,POSITIF
"okeeee, cepat dan mudah","okeeee, cepat dan mudah",okeeee  cepat dan mudah,okeeee  cepat dan mudah,"['okeeee', 'cepat', 'dan', 'mudah']","['oke', 'cepat', 'dan', 'mudah']","['oke', 'cepat', 'mudah']",oke cepat mudah,POSITIF
Percuma ada apk klo jaringannya buruk perbaiki jaringan dlu woi baru berguna ini apkð¡ Buruuuuuk!',percuma ada apk klo jaringannya buruk perbaiki jaringan dlu woi baru berguna ini apkð¡ buruuuuuk!',percuma ada apk klo jaringannya buruk perbaiki jaringan dlu woi baru berguna ini apkð¡ buruuuuuk  ,percuma ada apk klo jaringannya buruk perbaiki jaringan dlu woi baru berguna ini apkð¡ buruuuuuk  ,"['percuma', 'ada', 'apk', 'klo', 'jaringannya', 'buruk', 'perbaiki', 'jaringan', 'dlu', 'woi', 'baru', 'berguna', 'ini', 'apkð\x9f\x98¡', 'buruuuuuk']","['percuma', 'ada', 'aplikasi', 'kalau', 'jaringannya', 'buruk', 'perbaiki', 'jaringan', 'dulu', 'woi', 'baru', 'berguna', 'ini', 'apkð\x9f\x98¡', 'buruk']","['percuma', 'aplikasi', 'kalau', 'jaringannya', 'buruk', 'perbaiki', 'jaringan', 'dulu', 'woi', 'baru', 'berguna', 'apkð\x9f\x98¡', 'buruk']",percuma aplikasi kalau jaring buruk baik jaring dulu woi baru guna apk buruk,NEGATIF
"Masih banyak bug nya atau gangguan jaringan, beli pulsa pake metode pembayaran dana, udah ketarik saldonya, ada sms dari telkomsel juga, tapi di cek manual sama di cek di apk ini sama aja masih Rp0 pulsa gua","masih banyak bug nya atau gangguan jaringan, beli pulsa pake metode pembayaran dana, udah ketarik saldonya, ada sms dari telkomsel juga, tapi di cek manual sama di cek di apk ini sama aja masih rp0 pulsa gua",masih banyak bug nya atau gangguan jaringan  beli pulsa pake metode pembayaran dana  udah ketarik saldonya  ada sms dari telkomsel juga  tapi di cek manual sama di cek di apk ini sama aja masih rp0 pulsa gua,masih banyak bug nya atau gangguan jaringan  beli pulsa pake metode pembayaran dana  udah ketarik saldonya  ada sms dari telkomsel juga  tapi di cek manual sama di cek di apk ini sama aja masih rp pulsa gua,"['masih', 'banyak', 'bug', 'nya', 'atau', 'gangguan', 'jaringan', 'beli', 'pulsa', 'pake', 'metode', 'pembayaran', 'dana', 'udah', 'ketarik', 'saldonya', 'ada', 'sms', 'dari', 'telkomsel', 'juga', 'tapi', 'di', 'cek', 'manual', 'sama', 'di', 'cek', 'di', 'apk', 'ini', 'sama', 'aja', 'masih', 'rp', 'pulsa', 'gua']","['masih', 'banyak', 'bug', 'nya', 'atau', 'gangguan', 'jaringan', 'beli', 'pulsa', 'pakai', 'metode', 'pembayaran', 'dana', 'sudah', 'ketarik', 'saldonya', 'ada', 'sms', 'dari', 'telkomsel', 'juga', 'tapi', 'di', 'cek', 'manual', 'sama', 'di', 'cek', 'di', 'aplikasi', 'ini', 'sama', 'saja', 'masih', 'rupiah', 'pulsa', 'gue']","['banyak', 'bug', 'nya', 'gangguan', 'jaringan', 'beli', 'pulsa', 'pakai', 'metode', 'pembayaran', 'dana', 'ketarik', 'saldonya', 'sms', 'telkomsel', 'cek', 'manual', 'sama', 'cek', 'aplikasi', 'sama', 'rupiah', 'pulsa', 'gue']",banyak bug nya ganggu jaring beli pulsa pakai metode bayar dana tarik saldo sms telkomsel cek manual sama cek aplikasi sama rupiah pulsa gue,NEGATIF
Woh hoh.. hoh.. hoh..,woh hoh.. hoh.. hoh..,woh hoh   hoh   hoh  ,woh hoh   hoh   hoh  ,"['woh', 'hoh', 'hoh', 'hoh']","['woh', 'hoh', 'hoh', 'hoh']","['woh', 'hoh', 'hoh', 'hoh']",woh hoh hoh hoh,NETRAL
Paket telkomsel mahal mahal,paket telkomsel mahal mahal,paket telkomsel mahal mahal,paket telkomsel mahal mahal,"['paket', 'telkomsel', 'mahal', 'mahal']","['paket', 'telkomsel', 'mahal', 'mahal']","['paket', 'telkomsel', 'mahal', 'mahal']",paket telkomsel mahal mahal,NEGATIF
