content,textPreprocessing,sentiment
"kenapa daily check-in sekarang udah berubah ga kayak yg kemarin. waktu daily check-in nya aja hanya beberapa hari, gimana mau diklaim hadiahnya. tolong diperbaiki...",daily check in sekarang ubah tidak kemarin waktu daily check in nya beberapa hari bagaimana mau klaim hadiah baik,NEGATIF
paket mahal jaringan lemotð,paket mahal jaring lot,NEGATIF
Sering lemot atau loding lambat,sering lambat loading lambat,NEGATIF
Tolong y ukuran ny d kcilin sy susah mw download,y ukur nya d kecil susah mau download,NETRAL
good...kartu enak di pakai roming mantap,good kartu enak pakai roaming mantap,POSITIF
"Saya pengguna kartu simpati telkomsel sejak awal telkomsel masuk ke kalimantan.. Saya perhaikan..makin lama kok makin mahal, dan paket yg biasa kita beli kita dapatkan secara tidak utuh sekarang ini. Contoh : Saya membelu paket 48GB yg saya dapatkan malah 30GB kuota utama dan 18GB untuk aplikasi medsos, nonton dan yg lainnya) Sebenarnya hal ini tidak perlu, karena tidak semua orang suka bermain medsos atau nonton menggunakan HP. Dan kuota yg 30GB saya gunakan hanya 1 minggu sudah habis.",guna kartu simpati telkomsel sejak awal telkomsel masuk kalimantan baik makin lama kok makin mahal paket biasa beli dapat tidak utuh sekarang contoh beli paket gb dapat malah gb kuota utama gb aplikasi media sosial nonton lain benar tidak perlu tidak semua orang suka main media sosial nonton guna hp kuota gb guna minggu habis,NEGATIF
Kedepanya paket kombo sakti + telpon harga murah masa aktif 30 hari jangan dihilangkan.. Trims ...,depan paket kombo sakti telepon harga murah masa aktif hari jangan hilang terima kasih,NETRAL
"Aplikasi udah lumayan baik, tp harga pulsa paling mahal sejagat",aplikasi lumayan baik harga pulsa paling mahal jagat,NETRAL
mempermudahh,mudah,POSITIF
"Mantap saya kasih bintang 5 , karena sudah ada fitur amankan Pulsa",mantap kasih bintang fitur aman pulsa,POSITIF
"Tuk sekarang2 bli dataTelkomsel stop dulu krn maha,l make tree lebih terjangkau 20 gb ada promo cuma 25 ribu kecepatan jaringan beda tipis.",tuk sekarang beli data telkomsel stop dulu maha l pakai tree lebih jangkau gb promo cuma ribu cepat jaring beda tipis,NETRAL
Semoga kedepannya lebih baik lagii,moga depan lebih baik,NETRAL
"Mau ambil paket susah, nominal sudah melebihi namun tidak bisa membeli",mau ambil paket susah nominal lebih tidak beli,NEGATIF
"Krgnya histori pembelian kuota internet pada pihak ketiga. Tidak hanya pembelian di apps saja, di apps lain hrsnya dicantumkan juga biar tau, masuk apa tidaknya kuota tersebut.",kurang histori beli kuota internet pihak tiga tidak beli aplikasi aplikasi harus cantum biar tahu masuk apa tidak kuota sebut,NETRAL
"jaringan sering lag saat bermain game,parah sih harga mahal jaringan sering lag",jaring sering lag main game parah sih harga mahal jaring sering lag,NEGATIF
"makin gak jelas, masa kartu saya gak bisa browsing di crome, padahal menggunakan kartu lain dan wifi lancar aja browsingnya, saya coba pindah ke hp lain ternyata kartunya tetap tidak bisa browsing sejak mulainya update terbaru",makin tidak jelas masa kartu tidak browsing chrome padahal guna kartu wifi lancar browsing coba pindah hp nyata kartu tetap tidak browsing sejak mulai update baru,NEGATIF
Paket kuota ketengan kok ngga ada lg ya? Bru kmren lusa beli masih ada,paket kuota keteng kok tidak baru kemarin lusa beli,NETRAL
Coba aja sendiri,coba sendiri,NETRAL
"Jaringan sangat jlek, paket mahal",jaring sangat jelek paket mahal,NEGATIF
lebih di banyakin dong promonya biar tambah puas,lebih banyak dong promonya biar tambah puas,NETRAL
Jangan pelit daily checkin lah,jangan pelit daily check in lah,NEGATIF
"Program harus di sempurnakan lagi, dan sudah cukup lumayan mahal ð",program sempurna cukup lumayan mahal,NETRAL
"kasih 3 bintang dulu karen program chek in ny kadang ada kadang tidak, jd gk bisa chek in tiap hari",kasih bintang dulu program cek in nya kadang kadang tidak jadi tidak cek in tiap hari,NETRAL
wowww my telkomsel mantappp,wow my telkomsel mantap,POSITIF
sangat puas dengan layanan telkomsel cuma kendalanya ditempat saya jaringan 4G nya kirang lancar,sangat puas layan telkomsel cuma kendala tempat jaring g nya kurang lancar,NETRAL
Mantap 4G cerianyaððð...Puazzzzzz,mantap g ceria puas,POSITIF
sangat mudah aplikasinya di gunakan,sangat mudah aplikasi guna,POSITIF
nanti saya lihat perkembangannya,lihat kembang,NETRAL
sangat memuwaskan,sangat muas,POSITIF
"Ganti nama aja jadi tonkolsel, kuota mahal tapi jaringan ilang ilang mulu.",ganti nama jadi tonkolsel kuota mahal jaring hilang hilang mulu,NEGATIF
Saya suka aplikasinya,suka aplikasi,POSITIF
coba dulu kalo betulan dapat hadia,coba dulu kalau betul hadiah,NETRAL
"baik, walau kepelosok desa",baik ke pelosok desa,POSITIF
sangat memuaskan,sangat muas,POSITIF
bagus ðaplikasi MyTelkomsel,bagus aplikasi mytelkomsel,POSITIF
Berbagi sesama,bagi sama,NETRAL
selalu kuat untuk jaringan dimanapun ya,selalu kuat jaring mana,POSITIF
koin itu kan pakai pulsa nggak,koin kan pakai pulsa tidak,NETRAL
saya pencinta kamu,cinta kamu,POSITIF
sipp..mantap,sip mantap,POSITIF
"Mulai lebih baik, tingkatkan lg..",mulai lebih baik tingkat,NETRAL
Telkomsel the best,telkomsel the best,POSITIF
Harganya makin melejit gak bersahabat,harga makin lejit tidak sahabat,NEGATIF
"Sebenarnya udah lumayan bagus, tapi ada beberapa fitur yang tidak bisa dibuka, seperti jelajah nusantara, riwayat transaksi hanya bisa mengecek pembelian kita, tidak ada riwayat pulsa masuk, dan juga loading sekarang lumayan lamban",benar lumayan bagus beberapa fitur tidak buka jelajah nusantara riwayat transaksi ecek beli tidak riwayat pulsa masuk loading sekarang lumayan lamban,NETRAL
"Aplikasi nya sudah bagus & lancar, tapi untuk produk kirim hadiah seharusnya Tidak perlu memberi tahukan Harga kepada penerima Hadiah, akibatnya penerima merasa di kasih kecil dr segi harga, penerima hadiah cukup di beri informasi Jumlah Paket Data nya saja, tidak perlu di kasih tahu informasi Harganya.",aplikasi nya bagus lancar produk kirim hadiah tidak perlu beri tahu harga terima hadiah akibat terima rasa kasih kecil segi harga terima hadiah cukup beri informasi jumlah paket data nya tidak perlu kasih tahu informasi harga,NETRAL
lmyan bgus.wlwpn hrga pket2 data ny mahal,lumayan bagus walaupun harga paket data nya mahal,NETRAL
Daylicekin nya tambah parah ...utk Bonus kuota di paling akhir jlkkkk....kcwa,daily check in nya tambah parah bonus kuota paling akhir jelek kecewa,NEGATIF
Saya sangat terbantu dengan my telkomsel karena murah murah kadang mahal mahal. Berkembang terus my telkomsel saya sangat terbantu walau 3Gð­ð­,sangat bantu my telkomsel murah murah kadang mahal mahal kembang terus my telkomsel sangat bantu g,POSITIF
dulu padahal kartu ini langanan banget buat main game enak di pake lancar terus tapi sekarang kenapa jaringannya sering lah jadi ga konsisten Telkomsel mohon di perbaiki agar enak buat di pakain main game dan supaya lebih banyak pengguna Telkomsel saya mohon segera di perbaiki sinyalnya Telkomsel:),dulu padahal kartu langgan banget buat main game enak pakai lancar terus sekarang jaring sering lah jadi tidak konsisten telkomsel mohon baik enak buat pakai main game lebih banyak guna telkomsel mohon segera baik sinyal telkomsel,NEGATIF
"Dulu bintang 3, saya ubah jadi 5 bintang sekarang,, terbaik Telkomsel buat sayaððð tidak akan kelain hati lagi,promonya mantapð, di wilayah WIT Maluku,Dgn biaya 50an bisa dapat beli bonus promo internet 10GBlebih+nelpon/30 hari,, membuat saya tambah cinta â¤ï¸â¤ï¸â¤ï¸sama pelayanan Telkomsel. Terima kasih banyak Telkomsel ðð",dulu bintang ubah jadi bintang sekarang baik telkomsel buat saya tidak lain hati promonya mantap wilayah wit malu biaya an beli bonus promo internet gb lebih telepon hari buat tambah cinta sama layan telkomsel terima kasih banyak telkomsel,POSITIF
"Sudah mahal, jaringan internet ny lemot lagi, lawak",mahal jaring internet nya lambat lawak,NEGATIF
"Saya pengguna Telkomsel sejak lama, Namun belakangan sangat risih dengan telfon dari bot provider dan sangat sering' itu sangat mengganggu, di tambah saya menggunakan 5 kartu sekaligus untuk kebutuhan Usaha saya' namun sangat aneh' karna harga paket yg tersedia sangat berbeda2_ tolong di baca komentar saya_ terimakasih",guna telkomsel sejak lama belakang sangat risih telepon bot provider sangat sering sangat ganggu tambah guna kartu sekaligus butuh usaha sangat aneh harga paket sedia sangat beda baca komentar terima kasih,NETRAL
"Fitur makin banyak sip , tapi jangan lupa buat membenahi masalah login , sering sekali out .",fitur makin banyak sip jangan lupa buat benah masalah login sering sekali out,NETRAL
apa gk guna cuman nyedot pulsa aja kemaren pulsa ku ada 7.000 tibatiba d sedot hutang ku aja gk ada sama telkomsel emang dasar apk rusak ð¡,apa tidak cuma sedot pulsa kemarin pulsa ku tiba tiba d sedot hutang ku tidak sama telkomsel memang dasar aplikasi rusak,NEGATIF
"Dihh najis, udh setaun ga pake Telkomsel, nyesel gw ngisi paketan Telkomsel lagi.. Dikira ada perubahan ga taunya makin parah, jaringan menjijikkan buat maen game ringan macem maen cacing aja lemot gila, gmn maen game berat.. Udh harga paketan mahal2 banget, sumpah nyesel banget.. Mending Indosat sekalian biar ga bagus2 amat tp msh lebih mending.. Telkomsel Najis",dih najis tahun tidak pakai telkomsel sesal gue isi paket telkomsel kira ubah tidak tahu makin parah jaring jijik buat main game ringan macam main cacing lambat gila bagaimana main game berat harga paket mahal banget sumpah sesal banget mending indosat sekali biar tidak bagus lebih mending telkomsel najis,NEGATIF
hadiah nya donk jangn lupa hhhh,hadiah nya dong jangan lupa h,NETRAL
sangat terbantu,sangat bantu,POSITIF
Paket doang mahalÂ² jaringan jelek,paket doang mahal jaring jelek,NEGATIF
semoga poin bisa jadi saldo,moga poin jadi saldo,NETRAL
lebih hemat.kalau bisa banyakin penawaran yang menarik,lebih hemat kalau banyak tawar tarik,POSITIF
"Tolong dong menu beli kartu halo & migrasi kartu jangan ada di tampilan utama, kami khawatir tidak sengaja tersentuh.",dong menu beli kartu halo migrasi kartu jangan tampil utama khawatir tidak sengaja sentuh,NETRAL
jaringan di wilayah kami bagus,jaring wilayah bagus,POSITIF
sangat memudahkan pelanggan,sangat mudah langgan,POSITIF
"Untuk semuanya, sekarang aplikasi MyTelkomsel udah ada fitur jaga pulsa. Pilihannya ada di penawaran lainnya. Scrool aja ke samping sampai ketemu pilihan ""jaga pulsa"". Klik. Trus aktifkan. Tapi saya gatau sih worth it atau enggak. Soalnya baru aktifkan tadi. Jadi sementara ini saya kasih 3 bintang dulu. Kalo fiturnya memang beneran bisa jaga pulsa, nanti saya tambahin bintangnya",semua sekarang aplikasi mytelkomsel fitur jaga pulsa pilih tawar lain scrool samping ketemu pilih jaga pulsa klik terus aktif tidak tahu sih worth it tidak soal baru aktif tadi jadi kasih bintang dulu kalau fiturnya memang apakah benar jaga pulsa tambah bintang,NETRAL
"Telkomsel semakin memudahkan bagi penggunanya, terkadang jaringan berpengaruh juga karena cuaca",telkomsel makin mudah guna terkadang jaring pengaruh cuaca,NETRAL
"alhamdulillah lumayan terbantu,untuk melihat gratisan kuota habis engganya,beli kuota bisa",alhamdulilah lumayan bantu lihat gratis kuota habis tidak beli kuota,NETRAL
Sangat lambat diwilayah utan panjang 3 kemayoran,sangat lambat wilayah hutan panjang mayor,NEGATIF
keren...beli pulsa ..kuota...murah dan lancar.. terima kasih my telkomsel atas promo promonya,keren beli pulsa kuota murah lancar terima kasih my telkomsel atas promo promonya,POSITIF
Pulsa trus aja di potong ga jelas dikira beli pulsa ga mkk duit apa,pulsa terus potong tidak jelas kira beli pulsa tidak pakai duit apa,NEGATIF
somoga mnang,moga menang,NETRAL
"Ini kok daily loginnya di tunda terus gimana sihð¥² waktu itu mulainya tanggal dua, pas udah tanggal dua diundur lagi jadi tanggal 10 sekarang udah diundur sampe tanggal 12ð¥² terus dapat apa nanti pas daily loginnyaðkalo gini terus ni aplikasi saya hapus aja apa ya? Padahal udah update terus kemajuannya nggak ada, cuman beda tampilannyað¥² aplikasi nggak usah bagusÂ² tampilannya yang penting bermanfaat aja isinyaðð»",kok daily login tunda terus bagaimana sih waktu mulai tanggal pas tanggal undur jadi tanggal sekarang undur tanggal terus apa pas daily loginnya kalo begini terus ni aplikasi hapus apa padahal update terus maju tidak cuma beda tampil aplikasi tidak usah bagus tampil penting manfaat isi,NEGATIF
"Knp kita tidak bisa masuk ya, tiba2 keluar tidak bisa masuk lagi , padahal sudah verifikasi tidak ada pesan muncul",tidak masuk tiba keluar tidak masuk padahal verifikasi tidak pesan muncul,NEGATIF
"Tolong di tingkat kan lagi kualitas sinyal nya di daerah Kalimantan barat,tayan hilir,di daerah pedesaan sepanjang sungai Kapuas hilir",tingkat kan kualitas sinyal nya daerah kalimantan barat tayan hilir daerah desa panjang sungai kapuas hilir,NETRAL
jelas dan bagus,jelas bagus,POSITIF
"Wow keren my telkomsel lebih akurat ,sinyal setabil selalu senajan satu batang atau lima nalok ,tetap jaya Apa lagi sinyal 4 g /9 g tetap xesis ,, Saya cuma kasih empat bintang saka ,, Lalau saya sudah kaya aku kasih bintang sepuluh ð,, Tapi saya masih kurang yakin sama telkomsel kerena saya cari paket yang tahunan tidak ketemu ,, Tolong bantuaya mencari paket tahun,, Dan telkomsel beli paket mahal aekali,,!!!!!!!!!",wow keren my telkomsel lebih akurat sinyal stabil selalu senajan satu batang lima nalok tetap jaya apa sinyal g g tetap axis cuma kasih empat bintang saka kalau kaya aku kasih bintang puluh kurang yakin sama telkomsel cari paket tahun tidak ketemu bantu cari paket tahun telkomsel beli paket mahal sekali,NETRAL
"Ini kok dari kmrn sampe skrg sinyal internet nya jelek bngt sih,ada gangguan apa gimana sih????tlg di perbaiki bosss",kok kemarin sekarang sinyal internet nya jelek banget sih ganggu apa bagaimana sih baik bos,NEGATIF
Moga semakin bnyak hadiahnya,moga makin banyak hadiah,POSITIF
"untuk saat ini sangat puass,,",sangat puas,POSITIF
Singnal kurang kenang,sinyal kurang kenang,NEGATIF
Daftar pemenang undian dari Desember sampai sekarang knpa tidak ada?,daftar menang undi desember sekarang tidak,NEGATIF
sangat bagus dan membantu sekali,sangat bagus bantu sekali,POSITIF
"Ini kenapa yah akhir akhir ini gak bisa login aplikasi stuk warna putih sama pinggirannya merah terus kadang bisa kalo pas bisa aja,dan gak bisa buat masuk event jelajah Nusantara tolong perbaiki itu sama jaringan suka buruk akhir akhir ini ð",akhir akhir tidak login aplikasi stuck warna putih sama pinggir merah terus kadang kalau pas tidak buat masuk event jelajah nusantara baik sama jaring suka buruk akhir akhir,NEGATIF
"Udah dari 2/3 hari belakangan ini sampai sekarang jaringan internetnya SUPER LELET,ping sinyal tidak setabil Pokonya buruh jaringannya dan tidak ada perbaikan!",hari belakang sekarang jaring internetnya super lambat ping sinyal tidak stabil pokok buruh jaring tidak baik,NEGATIF
Sangat membantu tuk segala informasi Telkomsel ð,sangat bantu tuk segala informasi telkomsel,POSITIF
Layanan bagus tapi harga bosss Setiap kali saya topup dengan nominal yah besar lah kok ngk nambah massa aktif kartu kalo disuruh beli untuk massa aktif kartu mending pindah provider aj dari pada harus beli massa aktif doang plus jaringan suka ngk jelas cuman bagus bentarðððððð Thanks untuk dev,layan bagus harga bos kali topup nominal besar lah kok tidak tambah massa aktif kartu kalau suruh beli massa aktif kartu mending pindah provider beli massa aktif doang plus jaring suka tidak jelas cuma bagus bentar thank developer,NETRAL
ini kalo tukar ke poin bisa gak,kalau tukar poin tidak,NETRAL
Aplikasi nya simpel,aplikasi nya simpel,POSITIF
Mytelkomsel bisa di bajak org,mytelkomsel bajak orang,NETRAL
Telkomsel suka loading sekarang,telkomsel suka loading sekarang,NETRAL
oke banget puas,oke banget puas,POSITIF
bintang 4 dulu karena baru makai,bintang dulu baru pakai,NETRAL
"Bbrpa kali pngin buat akun masuk kon ga bisa"" ya, susah....?",beberapa kali buat akun masuk kon tidak susah,NETRAL
Terbaik !!!,baik,POSITIF
"Menurut saya bagus untuk versi android 9. Hp saya 1 kartu, lebih bagus kalau apk ini bisa pasang 2 nomor tanpa harus 2 kartu. (Pengennya saya....) Kenapa ketularan provider lain? setiap mendung jaringan ikut mendung, listrik pingsan jaringan ikut pingsan.... Makin boros aja.",bagus versi android hp kartu lebih bagus kalau aplikasi pasang nomor kartu ingin tular provider mendung jaring ikut mendung listrik pingsan jaring ikut pingsan makin boros,NETRAL
bagaimana cara tukar poin dengan paket internet,bagaimana cara tukar poin paket internet,NETRAL
"Bagus sekali menggunakan Mytelkom, beli paket cepat dan Mudah ð",bagus sekali guna mytelkomsel beli paket cepat mudah,POSITIF
Min ko sekarang apk my telkomsel gak ada daily cekpoin nya,admin ko sekarang aplikasi my telkomsel tidak daily cek poin nya,NETRAL
Mahal doang Jaringan Lemot,mahal doang jaring lambat,NEGATIF
Lmoot bngt gk jlas... loading mli padahal paket masih 20 gb,lambat banget tidak jelas loading mli padahal paket gb,NEGATIF
Ngk ada gratisan tiap isi pulsa,tidak gratis tiap isi pulsa,NETRAL
Langganan tanpa batas,langgan batas,NETRAL
senang bisa berlangganan dengan my Telkomsel,senang langgan my telkomsel,POSITIF
Paketan doang mahal.sinyal busukkk,paket doang mahal sinyal busuk,NEGATIF
"Tidak dapat masuk ke aplikasi, link verifikasi yang dikirim ke sms dengan keterangan link kadaluarsa",tidak masuk aplikasi link verifikasi kirim sms terang link kadaluarsa,NEGATIF
kasih lah promo yang lebih baik lagi,kasih lah promo lebih baik,NETRAL
"My telkomsel basa basi doank pake fitur daily checkin, udah ga guna lol Wkwkw Otw ke operator lain",my telkomsel basa basi doang pakai fitur daily check in tidak lol wkwk otw operator,NEGATIF
rekomendasi utk teman semua ð,rekomendasi teman semua,POSITIF
Kartu k0nt0l Sinyal nya kek babj Harga nya ga ngotak,kartu kontol sinyal nya kek babi harga nya tidak otak,NEGATIF
Asalanya ada paket gratis 12 MB sekarank gk ada jelek pokonyan,alas paket gratis mb sekarang tidak jelek pokok,NEGATIF
"Kembalikan pulsaku Anang tole! Aku ngisi pulsa 3 kali dengan jumlah 45 ribu. Dipotong hutang telkomsel 10 ribu, harusnya masih 35 ribu. Kenapa pulsaku cuman bersisa 25 ribu? Jangan makan duit haram wahai operator telkomsel. Janganlah menciptakan mental-mental Sambo di dunia pertelekomunikasian!",kembali pulsa anang tole aku isi pulsa kali jumlah ribu potong hutang telkomsel ribu harus ribu pulsa cuma sisa ribu jangan makan duit haram wahai operator telkomsel jangan cipta mental mental sambo dunia telekomunikasi,NEGATIF
terbaik untuk saat ini,baik,POSITIF
"very very very goooodddd...., makasih..:-D",very very very good terima kasih d,POSITIF
"waktu kuota utama habis, tinggal kuota unlimited apps tapi kualitas sinyalnya pasti beda gak seperti kuota utama. gak tau makin kesini makin kesana telkomsel. katanya unlimited tapi dibatasin 20Gb ya begitulah",waktu kuota utama habis tinggal kuota unlimited aplikasi kualitas sinyal beda tidak kuota utama tidak tahu makin kesini makin kesana telkomsel kata unlimited batas gb begitu,NEGATIF
minta hadiahnya dong uang tunai se ikhlasnya aja,minta hadiah dong uang tunai se ikhlas,NETRAL
makin hari layanan telkomsel makin jelek jaringan makin kacau harga paket mahal tapi pelayanan kosong kita pakai uang beli paket tapi jaringan macam asu,makin hari layan telkomsel makin jelek jaring makin kacau harga paket mahal layan kosong pakai uang beli paket jaring macam asu,NEGATIF
"AQ DAN TELKOMSEL TAK BISA DI PISAHKAN, AQ YESSSS, MANTAP",aku telkomsel tak pisah aku yes mantap,POSITIF
"Saya kasih bintang 3. Apk nya sebenernya bagus buat transaksi paket data/top up games dll. Tapi sayang cukup mengganggu notifikasi update versi terbaru setiap masuk apk MyTelkomsel, padahal sudah update dari bulan"" lalu.",kasih bintang aplikasi nya benar bagus buat transaksi paket data top up games dan lain lain sayang cukup ganggu notifikasi update versi baru masuk aplikasi mytelkomsel padahal update bulan lalu,NETRAL
Dengan aplikasi my telkomsel mepermuda beli kuota,aplikasi my telkomsel mudah beli kuota,POSITIF
Kasih promo biar tambah mantap,kasih promo biar tambah mantap,NETRAL
"Ini unlimited 128kbps /1,28kbps?",unlimited kbps kbps,NETRAL
mempermudah,mudah,POSITIF
knpa kartuku masih mahal2 paket datanya.... sedangkan kartuku Udah lama jdi mohon Telkomsel pengguna kartu lama itu kasih murah2 paket,kartu mahal paket data kartu lama jadi mohon telkomsel guna kartu lama kasih murah paket,NEGATIF
"Jaringan lancar,, adapun trouble cepat tertangani dgn baik dan pelayanan nya sangat memuaskan",jaring lancar adapun trouble cepat tangan baik layan nya sangat muas,POSITIF
Kenapa jelajah Nusantara ngga jadi ya,jelajah nusantara tidak jadi,NETRAL
Heewew jgn ragu apk ini bisa beli pulsa lohh,heewew jangan ragu aplikasi beli pulsa loh,POSITIF
Sinyal makin busuk aja dikit dikit gangguan,sinyal makin busuk sedikit sedikit ganggu,NEGATIF
Beli pulsa 50rb cuma dapat perpanjangan masa aktif 1 minggu ki pye,beli pulsa ribu cuma panjang masa aktif minggu ki bagaimana,NEGATIF
Daily cek in mulai tanggal sepuluh Tapi misi buat dapat kuota harus cek in 22 hari,daily cek in mulai tanggal puluh misi buat kuota cek in hari,NETRAL
puas dengan pelayanan,puas layan,POSITIF
Sangat simpel prosesnya dan menguntungkan,sangat simpel proses untung,POSITIF
nama elit jaringn sulit!!!!,nama elit jaring sulit,NEGATIF
Saya hanya Buruh kasar,buruh kasar,NETRAL
Telkomsek tambah parah makanya gak laku masa mau tranfer pulsa aja di potong banyak banget 2000 kaya beli pulsa di konter,telkomsel tambah parah makanya tidak laku masa mau transfer pulsa potong banyak banget kaya beli pulsa konter,NEGATIF
"Telkomsel pandai sekali bikin penggunanya melakukan transaksi tanpa disadari. Tadi klik link di facebook. Padahal kuota masih banyak, tapi masih saja ditanya buat beli paket. Tadi lagi sibuk ke hal lain, jadinya ga sengaja terklik. Malah paket darurat yang aktif. Dulu paket darurat muncul kalau kuota habis. Tetapi sekarang agak lain. Lalu suka nyedot pulsa juga kalo misal kuota habis.",telkomsel pandai sekali bikin guna laku transaksi sadar tadi klik link facebook padahal kuota banyak tanya buat beli paket tadi sibuk jadi tidak sengaja klik malah paket darurat aktif dulu paket darurat muncul kalau kuota habis sekarang lalu suka sedot pulsa kalau misal kuota habis,NEGATIF
JARINGAN AMPAS PAKETAN DI MAHALINN SU ASU,jaring ampas paket mahal su asu,NEGATIF
"Lemotttttttt , pindah ke kartu yg lain good bye Telkomsel",lambat pindah kartu good bye telkomsel,NEGATIF
Saya mengharapkan kemudahan jaringan dari Telkomsel.. karena jaringan sering lelet,harap mudah jaring telkomsel jaring sering lambat,NETRAL
mau beli d shopee bendal,mau beli d shopee bendal,NETRAL
Bisa ditambahkan riwayat pemakaian pulsa?,tambah riwayat pakai pulsa,NETRAL
aplikasinya lumayan pelayanan juga baik,aplikasi lumayan layan baik,POSITIF
Paket yang sering aku beli kok suka hilang ya kak?,paket sering aku beli kok suka hilang kak,NEGATIF
"Mantep langsung di bantu kalau ada keluhan,kan kedepan nya para costume bisa nyaman,dah gitu banyak lagi event hadiah dari Telkomsel,semoga kedepan nya nomor saya yang berkah dapet hadiah nya ya ð¥°ð¥°",mantap langsung bantu kalau keluh kan depan nya customer nyaman banyak event hadiah telkomsel moga depan nya nomor berkah hadiah nya,POSITIF
"untuk aplikasi my telkomsel nya saya tidak ada komplain, tapi saya mau komplain dengan telkomsel nya, perihal jaringan dalam kota kok bisa ilang"", kadang juga bisa lost signal, mohon di tindaklanjuti lagi keluhan pelanggan mu wahai telkomsel.",aplikasi my telkomsel nya tidak komplain mau komplain telkomsel nya perihal jaring kota kok hilang kadang lost sinyal mohon tindaklanjuti keluh langgan mu wahai telkomsel,NETRAL
"Dari dulu tuh paling suka dari my Telkomsel Karna ada daily check-in biar dapet kuota tambahan,tapi sekarang periode nya cuma 18 hari doang klo gasalah ,belum dapet yang kuota udah ilang tuh periode ,,dan kalo bisa jangan mahal mahal dong harga kuotanya ð¥ºmasa 50ribu cuma dapet bbrp GB doang hmm ,Oya tapi ada sukanya Karna udah ada pulsa jaga,sippp",dulu tuh paling suka my telkomsel daily check in biar kuota tambah sekarang periode nya cuma hari doang kalau tidak salah belum kuota hilang tuh periode kalau jangan mahal mahal dong harga kuota masa ribu cuma beberapa gb doang hmm suka pulsa jaga sip,NETRAL
ok sangat baik,oke sangat baik,POSITIF
"Aplikasi kadang susah dibuka, kadang juga gedek sama jaringannya setauku ini perusahaan terbesar di indonesia tapi jaringannya kok gak stabil pantas indonesia jadi negara dgn jaringan terburuk seasean",aplikasi kadang susah buka kadang gedeg sama jaring tahu aku usaha besar indonesia jaring kok tidak stabil pantas indonesia jadi negara jaring buruk asean,NEGATIF
kasih menang ke ya allah,kasih menang allah,NETRAL
ok buaaaanget...!!!,oke banget,POSITIF
"Daily check innya yg sekarang lucu banget min, baru mulai program tgl 10 bln 2, ko tersisa waktu tinggal 18 hari lg. Sinyal nya yg sekarang ko semakin tdk lbh baik, malah kalah sama kartu 3.",daily check innya sekarang lucu banget admin baru mulai program tanggal bulan ko sisa waktu tinggal hari sinyal nya sekarang ko makin tidak lebih baik malah kalah sama kartu,NEGATIF
good ððð,good,POSITIF
"Aplikasi yg sangat bagus, rekomendasi banget untuk pengguna kartu Telkomsel",aplikasi sangat bagus rekomendasi banget guna kartu telkomsel,POSITIF
sangat menyenangkan,sangat senang,POSITIF
"Setelah berpuluh tahun pake telkomsel tukar point buat di undi dan akhirnya tidak pernah dapat hadiah apa pun,trus siapa kah yg dapat...????",puluh tahun pakai telkomsel tukar point buat undi akhir tidak pernah hadiah apa terus siapa,NETRAL
udah lumayan itu,lumayan,NETRAL
jaringan kacauuuuu,jaring kacau,NEGATIF
setelah memakai telkomsel sama saja paket nya mahal mahal.waktu masuk pesan dari telkomsel paket nya murah.di suruh cek atau beli di mytelkomsel.pas udah buka mytelkomsel nya malah zonk tidak sesuai dengan pesan dari telkomsel.. Tolong dan mohon di perbaiki kembali mytelkomsel nya..klau seperti ini sama saja membohongi pengguna telkomsel akhirnya beralih ke kartu lain.. Terimakasih.,pakai telkomsel sama paket nya mahal mahal waktu masuk pesan telkomsel paket nya murah suruh cek beli mytelkomsel pas buka mytelkomsel nya malah zonk tidak sesuai pesan telkomsel mohon baik mytelkomsel nya kalau sama bohong guna telkomsel akhir alih kartu terima kasih,NEGATIF
"sangat bagus,dan mempermudah",sangat bagus mudah,POSITIF
sinyal ngelag yang disalahin apknya. aneh bet orang indo,sinyal lag salah aplikasi aneh bet orang indo,NEGATIF
"MAHAL,PELAYANAN JARINGAN INTERNET SEMAKIN LAMA SEMAKIN BERMASALAH. JARINGAN INTERNET SERING HILANG TANPA SEBAB,TIDAK ADA PEMBERITAHUAN SECARA KHUSUS DARI PIHAK TELKOMSEL APABILA ADA KERUSAKAN/KENDALA YANG MENYEBABKAN TERGANGGU NYA JARINGAN. JIKA TERUS SEPERTI INI PERCAYALAH,TERKOMSEL AKAN DITINGGALKAN OLEH MASYARAKAT KALAU TIDAK ADA PERUBAHAN SAMA SEKALI.",mahal layan jaring internet makin lama makin masalah jaring internet sering hilang tidak beri tahu khusus pihak telkomsel apabila rusa kendala sebab ganggu nya jaring terus percaya telkomsel tinggal masyarakat kalau tidak ubah sama sekali,NEGATIF
jaringan terluas tanpa batas,jaring luas batas,POSITIF
"Parah saya isi kuota di aplikasi pakai gopay, gopay terpotong kuota malah tidak ke isi... sialan benar rugi saya...",parah isi kuota aplikasi pakai gopay gopay potong kuota malah tidak isi sial benar rugi,NEGATIF
sangar puas dan juga murah terima kasih my telkomsel,sangat puas murah terima kasih my telkomsel,POSITIF
